SpeciesName,x,y,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
Leuconostoc_virus_LN04,-6.5001345,4.682411,Viruses,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Limdunavirus,Leuconostoc virus_LN04
Fusobacterium_periodonticum,9.736033,5.1040173,Bacteria,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum
Peptostreptococcaceae_bacterium_oral_taxon_113,12.577717,5.9343624,Bacteria,Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,Peptostreptococcaceae bacterium_oral_taxon_113
Enterococcus_thailandicus,8.858222,11.7386055,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus thailandicus
Prevotella_sp_CAG_1092,13.008839,2.0644515,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp_CAG_1092
Shigella_phage_pSf_1,-6.416351,4.031512,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Drexlerviridae,Hanrivervirus,Shigella phage_pSf_1
Streptococcus_pasteurianus,8.47586,9.006201,Bacteria,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pasteurianus
Bacteroides_sp_D2,14.069424,4.313302,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp_D2
Desulfovibrio_fairfieldensis,9.909948,6.7222915,Bacteria,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio fairfieldensis
Lautropia_mirabilis,9.38522,6.7238574,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Lautropia mirabilis
Dialister_succinatiphilus,7.4530845,1.7984749,Bacteria,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister succinatiphilus
Abiotrophia_defectiva,9.0379305,11.577598,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva
Leclercia_adecarboxylata,6.9375467,10.826539,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,Leclercia adecarboxylata
Lawsonibacter_asaccharolyticus,8.416297,2.5888362,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Lawsonibacter,Lawsonibacter asaccharolyticus
Bacteroides_phage_B124_14,-5.8527737,3.6240025,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Bacteroides phage_B124_14
Escherichia_virus_Ime09,-5.878143,4.633426,Viruses,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tequatrovirus,Escherichia virus_Ime09
Lactobacillus_phage_phiGb1,-6.307661,3.9240615,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Lactobacillus phage_phiGb1
Bifidobacterium_adolescentis,11.895027,9.949182,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis
Prevotella_buccalis,12.93484,2.3314433,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccalis
Lactobacillus_gastricus,10.318366,11.331012,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gastricus
Clostridium_aldenense,9.580942,0.8152599,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium aldenense
Phascolarctobacterium_sp_CAG_266,9.024081,6.8422356,Bacteria,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium sp_CAG_266
Catabacter_hongkongensis,9.015895,1.7784339,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Christensenellaceae,Catabacter,Catabacter hongkongensis
Prevotella_oulorum,12.804125,2.4657595,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oulorum
Harryflintia_acetispora,9.048054,1.8574458,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Harryflintia,Harryflintia acetispora
Prevotella_scopos,12.922351,2.1245136,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella scopos
Clostridium_sp_chh4_2,9.28814,1.239551,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp_chh4_2
Morganella_morganii,6.950404,10.21404,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,Morganella morganii
Sharpea_azabuensis,10.951875,7.415488,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,Sharpea azabuensis
