sample_accession	secondary_sample_accession	study_accession	sample_title	description	first_public	last_updated	center_name	country	host_body_site	host_status	disease	host	host_scientific_name	project_name	collection_date
SAMEA2042005	ERS199268	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA2017457	ERS225153	PRJEB43961;PRJEB1690	Gut microbiomes of Korean Twin Pairs	S183_1	2014-12-31	2014-09-11	SNU								
SAMEA2042091	ERS199029	PRJEB25962;PRJEB1220	Stool sample from danish	Stool sample from danish	2014-05-14	2012-12-17	BGI	Denmark						MetaHIT-MGS	2008/2010
SAMEA1906545	ERS235566	PRJEB37358;PRJEB1786	563	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906553	ERS235542	PRJEB37358;PRJEB1786	476	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906572	ERS235599	PRJEB37358;PRJEB1786	235	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1965191	ERS199382	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA1965858	ERS328929	PRJEB37358;PRJEB4336	Stool sample from danish	Stool sample from danish	2013-09-10	2013-07-19	BGI	Denmark						MetaHIT-Richness	2008/2010
SAMEA1968151	ERS199275	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA1971886	ERS199236	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA1973207	ERS199144	PRJEB25962;PRJEB1220	Stool sample from danish	Stool sample from danish	2014-05-14	2012-12-17	BGI	Denmark						MetaHIT-MGS	2008/2010
SAMEA2041925	ERS199248	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA2041932	ERS199254	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA2042010	ERS199272	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA2042012	ERS199274	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA2042014	ERS199277	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA2017459	ERS225155	PRJEB43961;PRJEB1690	Gut microbiomes of Korean Twin Pairs	S184_1	2014-12-31	2014-09-11	SNU								
SAMEA1906548	ERS235562	PRJEB1786	551	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906557	ERS235556	PRJEB1786	530	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906558	ERS235508	PRJEB37358;PRJEB1786	353	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
