sample_accession	secondary_sample_accession	study_accession	sample_title	description	first_public	last_updated	center_name	country	host_body_site	host_status	disease	host	host_scientific_name	project_name	collection_date
SAMEA104142426	ERS1801444	PRJEB103280;PRJEB21528	ZSL436	ZSL436	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142428	ERS1801446	PRJEB103280;PRJEB21528	ZSL439	ZSL439	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142436	ERS1801454	PRJEB103280;PRJEB21528	ZSL468	ZSL468	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142390	ERS1801408	PRJEB31567;PRJEB21528	N1277	N1277	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142401	ERS1801419	PRJEB31567;PRJEB21528	N1296	N1296	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142405	ERS1801423	PRJEB31567;PRJEB21528	N1300	N1300	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142411	ERS1801429	PRJEB103280;PRJEB21528	ZSL399	ZSL399	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142423	ERS1801441	PRJEB31567;PRJEB21528	ZSL430	ZSL430	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142427	ERS1801445	PRJEB103280;PRJEB21528	ZSL437	ZSL437	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142434	ERS1801452	PRJEB103280;PRJEB21528	ZSL466	ZSL466	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142437	ERS1801455	PRJEB103280;PRJEB21528	ZSL475	ZSL475	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142388	ERS1801406	PRJEB103280;PRJEB21528	N1275	N1275	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142395	ERS1801413	PRJEB103280;PRJEB21528	N1288	N1288	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142404	ERS1801422	PRJEB103280;PRJEB21528	N1299	N1299	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142408	ERS1801426	PRJEB103280;PRJEB21528	N1307	N1307	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142409	ERS1801427	PRJEB103280;PRJEB21528	N1309	N1309	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142410	ERS1801428	PRJEB103280;PRJEB21528	ZSL402	ZSL402	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142415	ERS1801433	PRJEB31567;PRJEB21528	ZSL408	ZSL408	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142424	ERS1801442	PRJEB103280;PRJEB21528	ZSL433	ZSL433	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142431	ERS1801449	PRJEB103280;PRJEB21528	ZSL452	ZSL452	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142438	ERS1801456	PRJEB103280;PRJEB21528	ZSL477	ZSL477	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142441	ERS1801459	PRJEB31567;PRJEB21528	ZSL480	ZSL480	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142442	ERS1801460	PRJEB103280;PRJEB21528	ZSL482	ZSL482	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142433	ERS1801451	PRJEB103280;PRJEB21528	ZSL454	ZSL454	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142435	ERS1801453	PRJEB31567;PRJEB21528	ZSL467	ZSL467	2017-08-25	2017-06-26	BGI	China						Acvd	2013
